food_id,food_name,category,calories,protein,carbs,fats,diet_type,recommended_time
1,Idli,Veg,120,4,22,1,Diabetic,Breakfast
2,Dosa,Veg,168,5,30,3,Normal,Breakfast
3,Upma,Veg,180,6,32,4,Weight Loss,Breakfast
4,Oats Porridge,Veg,150,7,27,3,Weight Loss,Breakfast
5,Boiled Eggs,Non-Veg,155,13,1,11,Muscle Gain,Breakfast
6,Grilled Chicken,Non-Veg,240,27,0,5,Muscle Gain,Lunch
7,Vegetable Rice,Veg,210,6,38,4,Normal,Lunch
8,Chapati,Veg,120,4,20,2,Diabetic,Lunch
9,Paneer Curry,Veg,265,14,8,20,Muscle Gain,Lunch
10,Fish Curry,Non-Veg,220,22,3,12,Normal,Lunch
11,Fruit Salad,Veg,95,2,24,0,Weight Loss,Snack
12,Roasted Nuts,Veg,170,6,8,14,Muscle Gain,Snack
13,Vegetable Soup,Veg,80,3,12,1,Diabetic,Dinner
14,Steamed Rice,Veg,200,4,45,1,Normal,Dinner
15,Grilled Paneer,Veg,240,18,6,18,Muscle Gain,Dinner
16,Curd Rice,Veg,190,6,28,4,Diabetic,Dinner
17,Chicken Soup,Non-Veg,150,15,5,4,Weight Loss,Dinner
18,Banana,Veg,105,1,27,0,Normal,Snack
19,Apple,Veg,95,0,25,0,Diabetic,Snack
20,Sprouts Salad,Veg,140,9,20,2,Weight Loss,Lunch
21,Spicy Idli,Veg,113,6,31,2,Weight Loss,Breakfast
22,Light Idli,Veg,221,10,23,9,PCOS,Breakfast
23,High-Protein Idli,Veg,219,14,38,2,Heart Healthy,Breakfast
24,Low Oil Idli,Veg,201,9,24,7,Thyroid,Breakfast
25,Idli with Salad,Veg,169,9,26,3,Weight Loss,Breakfast
26,Idli with Raita,Veg,260,9,28,12,Thyroid,Breakfast
27,Idli with Curd,Veg,214,14,18,9,Diabetic,Breakfast
28,Spicy Dosa,Veg,179,10,34,2,PCOS,Breakfast
29,Light Dosa,Veg,207,13,36,2,Heart Healthy,Breakfast
30,High-Protein Dosa,Veg,366,13,37,18,Muscle Gain,Breakfast
31,Low Oil Dosa,Veg,114,12,21,2,Weight Loss,Breakfast
32,Dosa with Salad,Veg,185,13,19,6,Thyroid,Breakfast
33,Dosa with Raita,Veg,207,6,19,11,Thyroid,Breakfast
34,Dosa with Curd,Veg,161,12,41,2,Hypertension,Breakfast
35,Spicy Upma,Veg,196,6,35,3,Hypertension,Breakfast
36,Light Upma,Veg,185,6,23,7,Heart Healthy,Breakfast
37,High-Protein Upma,Veg,150,9,26,2,Heart Healthy,Breakfast
38,Low Oil Upma,Veg,161,6,24,4,Weight Loss,Breakfast
39,Upma with Salad,Veg,228,7,29,9,PCOS,Breakfast
40,Upma with Raita,Veg,231,14,22,9,Normal,Breakfast
41,Upma with Curd,Veg,199,14,38,2,Heart Healthy,Breakfast
42,Spicy Poha,Veg,174,8,27,3,PCOS,Breakfast
43,Light Poha,Veg,207,11,38,2,PCOS,Breakfast
44,High-Protein Poha,Veg,188,12,29,2,Normal,Breakfast
45,Low Oil Poha,Veg,172,6,29,3,Weight Loss,Breakfast
46,Poha with Salad,Veg,177,8,24,5,PCOS,Breakfast
47,Poha with Raita,Veg,239,14,41,2,Thyroid,Breakfast
48,Poha with Curd,Veg,163,7,30,2,Hypertension,Breakfast
49,Spicy Uttapam,Veg,253,9,37,7,Normal,Breakfast
50,Light Uttapam,Veg,230,13,24,9,PCOS,Breakfast
51,High-Protein Uttapam,Veg,390,15,21,27,Muscle Gain,Breakfast
52,Low Oil Uttapam,Veg,180,12,39,2,Thyroid,Breakfast
53,Uttapam with Salad,Veg,189,12,18,7,PCOS,Breakfast
