symptom_id,symptom_name,severity,duration_days,possible_condition,otc_medicine,medicine_type,dosage_info,doctor_consult,notes
1,Fever,Mild,1,Viral Fever,Paracetamol,Tablet,After food,No,Drink fluids and rest
2,Fever,Moderate,3,Infection,Paracetamol,Tablet,After food,Yes,Consult doctor if persists
3,Headache,Mild,1,Stress,Paracetamol,Tablet,After food,No,Avoid screen time
4,Headache,Moderate,2,Migraine,Ibuprofen,Tablet,After food,Yes,Do not overdose
5,Cough,Mild,2,Common Cold,Cough Syrup,Syrup,Twice daily,No,Steam inhalation advised
6,Cough,Moderate,4,Bronchitis,Expectorant,Syrup,Twice daily,Yes,Consult physician
7,Cold,Mild,2,Allergy,Antihistamine,Tablet,Once daily,No,Avoid allergens
8,Cold,Moderate,3,Sinusitis,Antihistamine,Tablet,Once daily,Yes,Medical advice required
9,Stomach Pain,Mild,1,Indigestion,Antacid,Tablet,Before meals,No,Avoid spicy food
10,Stomach Pain,Moderate,3,Gastritis,Omeprazole,Capsule,Before breakfast,Yes,Doctor visit suggested
11,Diarrhea,Mild,1,Food Poisoning,ORS,Solution,After each loose motion,No,Stay hydrated
12,Diarrhea,Moderate,2,Infection,ORS,Solution,After each loose motion,Yes,Medical supervision needed
13,Sore Throat,Mild,2,Viral Infection,Lozenges,Tablet,As needed,No,Warm salt water gargle
14,Sore Throat,Moderate,4,Bacterial Infection,Lozenges,Tablet,As needed,Yes,Antibiotics only by doctor
15,Body Pain,Mild,1,Muscle Strain,Paracetamol,Tablet,After food,No,Rest and hydration
16,Body Pain,Moderate,3,Viral Fever,Ibuprofen,Tablet,After food,Yes,Do not mix medicines
17,Nausea,Mild,1,Motion Sickness,Antiemetic,Tablet,Before travel,No,Avoid heavy food
18,Nausea,Moderate,2,Gastric Issue,Antiemetic,Tablet,Before meals,Yes,Medical advice required
19,Dizziness,Mild,1,Dehydration,ORS,Solution,Small sips,No,Increase water intake
20,Dizziness,Moderate,2,Low BP,ORS,Solution,Small sips,Yes,Monitor blood pressure
21,Eye Irritation,Mild,3,Dry Eyes,Lubricating Drops,Drops,3 times daily,No,Avoid screen glare
22,Gas,Mild,3,Bloating,Simethicone,Tablet,After meals,No,Avoid carbonated drinks
23,Ear Pain,Moderate,5,Ear Infection,Warm Compress,Home Care,As needed,Yes,Consult ENT if discharge
24,Joint Pain,Moderate,1,Inflammation,Ibuprofen,Tablet,After food,No,Rest affected joint
25,Body Ache,Mild,2,Muscle Strain,Ibuprofen,Tablet,After food,No,Rest and hydration
26,Nosebleed,Moderate,5,Dry Nose,Saline Drops,Drops,As needed,Yes,Pinch nose gently
27,Minor Cut,Moderate,6,Skin Injury,Antiseptic Cream,Ointment,Apply twice daily,Yes,Keep wound covered
28,Insomnia,Mild,3,Stress,Melatonin,Tablet,At bedtime,No,Limit caffeine
